Parsing alignment rod_subt2_mt3cp ... ... 
Length alignment: 3662
Number of taxa: 691
Taxon: abeomelomys_sevia | Num gaps: 3055 | Missing taxon?: N | % Missing data: 83.4243582741671
Taxon: abrawayaomys_ruschii | Num gaps: 3288 | Missing taxon?: N | % Missing data: 89.7870016384489
Taxon: abrothrix_andinus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: abrothrix_hershkovitzi | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: abrothrix_illuteus | Num gaps: 3286 | Missing taxon?: N | % Missing data: 89.7323866739487
Taxon: abrothrix_jelskii | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: abrothrix_lanosus | Num gaps: 3270 | Missing taxon?: N | % Missing data: 89.2954669579465
Taxon: abrothrix_longipilis | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: abrothrix_longipilis_moerens | Num gaps: 3662 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_markhami | Num gaps: 3340 | Missing taxon?: N | % Missing data: 91.206990715456
Taxon: abrothrix_olivaceus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: abrothrix_olivaceus_beatus | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: abrothrix_olivaceus_brachiotis | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: abrothrix_olivaceus_canescens | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: abrothrix_olivaceus_pencanus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: abrothrix_xanthorhinus | Num gaps: 3662 | Missing taxon?: Y | % Missing data: 100
Taxon: aegialomys_galapagoensis | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: aegialomys_xanthaeolus | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: aepeomys_lugens | Num gaps: 3662 | Missing taxon?: Y | % Missing data: 100
Taxon: aethomys_chrysophilus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: aethomys_kaiseri | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: akodon_aerosus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_aff_cursor | Num gaps: 3286 | Missing taxon?: N | % Missing data: 89.7323866739487
Taxon: akodon_affinis | Num gaps: 3285 | Missing taxon?: N | % Missing data: 89.7050791916985
Taxon: akodon_albiventer | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_azarae | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_baliolus | Num gaps: 3287 | Missing taxon?: N | % Missing data: 89.7596941561988
Taxon: akodon_boliviensis | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_budini | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_caenosus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_cursor | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_dayi | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_dolores | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_fumeus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_glaucinus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_iniscatus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_iniscatus_nucus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_juninensis | Num gaps: 3284 | Missing taxon?: N | % Missing data: 89.6777717094484
Taxon: akodon_kofordi | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: neomicroxus_latebricola | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_lindberghi | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_lutescens | Num gaps: 3297 | Missing taxon?: N | % Missing data: 90.0327689787002
Taxon: akodon_lutescens_puer | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_mimus | Num gaps: 3292 | Missing taxon?: N | % Missing data: 89.8962315674495
Taxon: akodon_molinae | Num gaps: 3287 | Missing taxon?: N | % Missing data: 89.7596941561988
Taxon: akodon_mollis | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_mollis_altorum | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_montensis | Num gaps: 67 | Missing taxon?: N | % Missing data: 1.82960131075915
Taxon: akodon_mystax | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_orophilus | Num gaps: 3284 | Missing taxon?: N | % Missing data: 89.6777717094484
Taxon: akodon_paranaensis | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_philipmyersi | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_polopi | Num gaps: 3662 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_reigi | Num gaps: 3287 | Missing taxon?: N | % Missing data: 89.7596941561988
Taxon: akodon_serrensis | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_siberiae | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_simulator | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_spegazzinii | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_subfuscus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_sylvanus | Num gaps: 3303 | Missing taxon?: N | % Missing data: 90.196613872201
Taxon: akodon_tartareus | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_toba | Num gaps: 3284 | Missing taxon?: N | % Missing data: 89.6777717094484
Taxon: akodon_torques | Num gaps: 3284 | Missing taxon?: N | % Missing data: 89.6777717094484
Taxon: akodon_varius | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: akodon_viridescens | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: amphinectomys_savamis | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: andalgalomys_pearsoni | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: andalgalomys_pearsoni_dorbignyi | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: andalgalomys_roigi | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: andinomys_edax | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: anisomys_imitator | Num gaps: 3066 | Missing taxon?: N | % Missing data: 83.7247405789186
Taxon: apodemus_agrarius | Num gaps: 61 | Missing taxon?: N | % Missing data: 1.66575641725833
Taxon: apodemus_agrarius_coreae | Num gaps: 3385 | Missing taxon?: N | % Missing data: 92.4358274167122
Taxon: apodemus_alpicola | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: apodemus_argenteus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: apodemus_chejuensis | Num gaps: 58 | Missing taxon?: N | % Missing data: 1.58383397050792
Taxon: apodemus_chevrieri | Num gaps: 58 | Missing taxon?: N | % Missing data: 1.58383397050792
Taxon: apodemus_draco | Num gaps: 58 | Missing taxon?: N | % Missing data: 1.58383397050792
Taxon: apodemus_flavicollis | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: apodemus_gurkha | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: apodemus_hermonensis | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: apodemus_ilex | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: apodemus_latronum | Num gaps: 58 | Missing taxon?: N | % Missing data: 1.58383397050792
Taxon: apodemus_mystacinus | Num gaps: 3054 | Missing taxon?: N | % Missing data: 83.397050791917
Taxon: apodemus_pallipes | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: apodemus_peninsulae | Num gaps: 61 | Missing taxon?: N | % Missing data: 1.66575641725833
Taxon: apodemus_ponticus | Num gaps: 3662 | Missing taxon?: Y | % Missing data: 100
Taxon: apodemus_semotus | Num gaps: 3057 | Missing taxon?: N | % Missing data: 83.4789732386674
Taxon: apodemus_speciosus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: apodemus_sylvaticus | Num gaps: 3063 | Missing taxon?: N | % Missing data: 83.6428181321682
Taxon: apodemus_uralensis | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: apodemus_wardi | Num gaps: 3662 | Missing taxon?: Y | % Missing data: 100
Taxon: apomys_abrae | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: apomys_camiguinensis | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: apomys_datae | Num gaps: 3057 | Missing taxon?: N | % Missing data: 83.4789732386674
Taxon: apomys_gracilirostris | Num gaps: 3284 | Missing taxon?: N | % Missing data: 89.6777717094484
Taxon: apomys_hylocoetes | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: apomys_insignis | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: apomys_iridensis | Num gaps: 3306 | Missing taxon?: N | % Missing data: 90.2785363189514
Taxon: apomys_lubangensis | Num gaps: 3662 | Missing taxon?: Y | % Missing data: 100
Taxon: apomys_microdon | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: apomys_musculus | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: apomys_sacobianus | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.595849262698
Taxon: archboldomys_luzonensis | Num gaps: 3054 | Missing taxon?: N | % Missing data: 83.397050791917
Taxon: arvicanthis_abyssinicus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: arvicanthis_dembeensis | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: arvicanthis_niloticus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: arvicanthis_somalicus | Num gaps: 3055 | Missing taxon?: N | % Missing data: 83.4243582741671
Taxon: auliscomys_boliviensis | Num gaps: 3279 | Missing taxon?: N | % Missing data: 89.5412342981977
Taxon: auliscomys_micropus | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: auliscomys_pictus | Num gaps: 3358 | Missing taxon?: N | % Missing data: 91.6985253959585
Taxon: auliscomys_sublimis | Num gaps: 3363 | Missing taxon?: N | % Missing data: 91.8350628072092
Taxon: bandicota_bengalensis~ | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.6231567449481
Taxon: bandicota_indica~ | Num gaps: 58 | Missing taxon?: N | % Missing data: 1.58383397050792
Taxon: bandicota_savilei~ | Num gaps: 3284 | Missing taxon?: N | % Missing data: 89.6777717094484
Taxon: batomys_granti | Num gaps: 3056 | Missing taxon?: N | % Missing data: 83.4516657564173
Taxon: batomys_salomonseni | Num gaps: 3283 | Missing taxon?: N | % Missing data: 89.6504642271983
Taxon: berylmys_berdmorei | Num gaps: 3288 | Missing taxon?: N | % Missing data: 89.7870016384489
