Parsing alignment lagomorpha_mt12cp ... ... 
Length alignment: 7198
Number of taxa: 88
Taxon: brachylagus_idahoensis | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: bunolagus_monticularis | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: caprolagus_hispidus | Num gaps: 6514 | Missing taxon?: N | % Missing data: 90.4973603778827
Taxon: lepus_alleni | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_americanus | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_arcticus | Num gaps: 534 | Missing taxon?: N | % Missing data: 7.41872742428452
Taxon: lepus_brachyurus | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_californicus | Num gaps: 534 | Missing taxon?: N | % Missing data: 7.41872742428452
Taxon: lepus_californicus_melanotis | Num gaps: 7198 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_californicus_xanti | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_callotis | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_capensis | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_capensis_mediterraneus~ | Num gaps: 6494 | Missing taxon?: N | % Missing data: 90.2195054181717
Taxon: lepus_castroviejoi | Num gaps: 7198 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_comus | Num gaps: 4556 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: lepus_coreanus | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_corsicanus | Num gaps: 538 | Missing taxon?: N | % Missing data: 7.47429841622673
Taxon: lepus_europaeus | Num gaps: 6 | Missing taxon?: N | % Missing data: 0.0833564879133093
Taxon: lepus_flavigularis | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_granatensis | Num gaps: 6 | Missing taxon?: N | % Missing data: 0.0833564879133093
Taxon: lepus_hainanus | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_insularis~ | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_mandshuricus | Num gaps: 4556 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: lepus_oiostolus | Num gaps: 4556 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: lepus_oiostolus_qinghaiensis~ | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_othus | Num gaps: 532 | Missing taxon?: N | % Missing data: 7.39094192831342
Taxon: lepus_peguensis | Num gaps: 4556 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: lepus_saxatilis | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_sinensis | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_timidus | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_tolai | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_townsendii | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_yarkandensis | Num gaps: 4556 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: nesolagus_netscheri | Num gaps: 7198 | Missing taxon?: Y | % Missing data: 100
Taxon: nesolagus_timinsi | Num gaps: 7198 | Missing taxon?: Y | % Missing data: 100
Taxon: ochotona_alpina | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_scorodumovi | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: ochotona_annectens | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_cansus_cansus | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_cansus_morosa | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_cansus_stevensi | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_collaris | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: ochotona_curzoniae | Num gaps: 6 | Missing taxon?: N | % Missing data: 0.0833564879133093
Taxon: ochotona_curzoniae_melanostoma~ | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: ochotona_dauurica | Num gaps: 6442 | Missing taxon?: N | % Missing data: 89.497082522923
Taxon: ochotona_dauurica_bedfordi | Num gaps: 5632 | Missing taxon?: N | % Missing data: 78.2439566546263
Taxon: ochotona_erythrotis | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_forresti | Num gaps: 5524 | Missing taxon?: N | % Missing data: 76.7435398721867
Taxon: ochotona_himalayana | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_hoffmanni | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: ochotona_huangensis | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_hyperborea | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_koslowi | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_ladacensis | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_macrotis | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: ochotona_mantchurica | Num gaps: 6442 | Missing taxon?: N | % Missing data: 89.497082522923
Taxon: ochotona_nubrica | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_pallasi_helanshanensis | Num gaps: 5520 | Missing taxon?: N | % Missing data: 76.6879688802445
Taxon: ochotona_pallasi_pricei | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: ochotona_pallasi_sunidica | Num gaps: 5630 | Missing taxon?: N | % Missing data: 78.2161711586552
Taxon: ochotona_princeps | Num gaps: 4 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: ochotona_pusilla | Num gaps: 6442 | Missing taxon?: N | % Missing data: 89.497082522923
Taxon: ochotona_roylei | Num gaps: 5632 | Missing taxon?: N | % Missing data: 78.2439566546263
Taxon: ochotona_rufescens | Num gaps: 6440 | Missing taxon?: N | % Missing data: 89.4692970269519
