Parsing alignment ctenohystrica_nt3cp ... ... 
Length alignment: 16778
Number of taxa: 210
Taxon: abrocoma_bennettii | Num gaps: 11004 | Missing taxon?: N | % Missing data: 65.5858862796519
Taxon: abrocoma_cinerea | Num gaps: 15793 | Missing taxon?: N | % Missing data: 94.1292168315651
Taxon: aconaemys_fuscus | Num gaps: 16482 | Missing taxon?: N | % Missing data: 98.2357849564906
Taxon: aconaemys_porteri | Num gaps: 16483 | Missing taxon?: N | % Missing data: 98.2417451424485
Taxon: aconaemys_sagei | Num gaps: 16145 | Missing taxon?: N | % Missing data: 96.2272022887114
Taxon: atherurus_africanus~ | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: atherurus_macrourus~ | Num gaps: 16045 | Missing taxon?: N | % Missing data: 95.6311836929312
Taxon: bathyergus_janetta | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: bathyergus_suillus | Num gaps: 14729 | Missing taxon?: N | % Missing data: 87.7875789724639
Taxon: callistomys_pictus | Num gaps: 16146 | Missing taxon?: N | % Missing data: 96.2331624746692
Taxon: capromys_pilorides | Num gaps: 12596 | Missing taxon?: N | % Missing data: 75.0745023244725
Taxon: carterodon_sulcidens~ | Num gaps: 16161 | Missing taxon?: N | % Missing data: 96.3225652640362
Taxon: cavia_aperea~ | Num gaps: 16293 | Missing taxon?: N | % Missing data: 97.1093098104661
Taxon: cavia_aperea_anolaimae | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_aperea_guianae | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_aperea_hypoleuca | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_aperea_pamparum | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_cutleri | Num gaps: 16636 | Missing taxon?: N | % Missing data: 99.1536535939921
Taxon: cavia_fulgida | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_magna | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_porcellus | Num gaps: 2940 | Missing taxon?: N | % Missing data: 17.5229467159375
Taxon: cavia_tschudii~ | Num gaps: 15323 | Missing taxon?: N | % Missing data: 91.3279294313983
Taxon: cavia_tschudii_osgoodi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetomys_subspinosus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: chinchilla_lanigera | Num gaps: 10680 | Missing taxon?: N | % Missing data: 63.6547860293241
Taxon: clyomys_laticeps | Num gaps: 15795 | Missing taxon?: N | % Missing data: 94.1411372034808
Taxon: coendou_bicolor | Num gaps: 16494 | Missing taxon?: N | % Missing data: 98.3073071879843
Taxon: coendou_ichillus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_insidiosus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_melanurus | Num gaps: 16369 | Missing taxon?: N | % Missing data: 97.562283943259
Taxon: coendou_mexicanus | Num gaps: 16507 | Missing taxon?: N | % Missing data: 98.3847896054357
Taxon: coendou_prehensilis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_quichua | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_rufescens | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_spinosus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_villosus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_anomalus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_holosericeus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_hottentotus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_mahali | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_natalensis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_nimrodi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_pretoriae | Num gaps: 16164 | Missing taxon?: N | % Missing data: 96.3404458219096
Taxon: ctenodactylus_gundi | Num gaps: 10680 | Missing taxon?: N | % Missing data: 63.6547860293241
Taxon: ctenodactylus_vali | Num gaps: 15933 | Missing taxon?: N | % Missing data: 94.9636428656574
Taxon: ctenomys_argentinus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_australis | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_boliviensis | Num gaps: 11207 | Missing taxon?: N | % Missing data: 66.7958040290857
Taxon: ctenomys_colburni | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_conoveri | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_coyhaiquensis | Num gaps: 15729 | Missing taxon?: N | % Missing data: 93.7477649302658
Taxon: ctenomys_dorbignyi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_erikacuellarae | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_flamarioni | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_fodax | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_frater | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_fulvus | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_goodfellowi | Num gaps: 16778 | Missing taxon?: Y | % Missing data: 100
