Parsing alignment rod_subt2_nt3cp ... ... 
Length alignment: 95950
Number of taxa: 691
Taxon: abeomelomys_sevia | Num gaps: 95194 | Missing taxon?: N | % Missing data: 99.2120896300156
Taxon: abrawayaomys_ruschii | Num gaps: 95537 | Missing taxon?: N | % Missing data: 99.5695674830641
Taxon: abrothrix_andinus | Num gaps: 94518 | Missing taxon?: N | % Missing data: 98.5075560187598
Taxon: abrothrix_hershkovitzi | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_illuteus | Num gaps: 95566 | Missing taxon?: N | % Missing data: 99.5997915581032
Taxon: abrothrix_jelskii | Num gaps: 94579 | Missing taxon?: N | % Missing data: 98.5711307972903
Taxon: abrothrix_lanosus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_longipilis | Num gaps: 95530 | Missing taxon?: N | % Missing data: 99.5622720166754
Taxon: abrothrix_longipilis_moerens | Num gaps: 94170 | Missing taxon?: N | % Missing data: 98.1448671182908
Taxon: abrothrix_markhami | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_olivaceus | Num gaps: 95182 | Missing taxon?: N | % Missing data: 99.1995831162064
Taxon: abrothrix_olivaceus_beatus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_olivaceus_brachiotis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_olivaceus_canescens | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_olivaceus_pencanus | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_xanthorhinus | Num gaps: 95105 | Missing taxon?: N | % Missing data: 99.1193329859302
Taxon: aegialomys_galapagoensis | Num gaps: 95528 | Missing taxon?: N | % Missing data: 99.5601875977071
Taxon: aegialomys_xanthaeolus | Num gaps: 94836 | Missing taxon?: N | % Missing data: 98.8389786347056
Taxon: aepeomys_lugens | Num gaps: 95571 | Missing taxon?: N | % Missing data: 99.6050026055237
Taxon: aethomys_chrysophilus | Num gaps: 95269 | Missing taxon?: N | % Missing data: 99.2902553413236
Taxon: aethomys_kaiseri | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_aerosus | Num gaps: 95576 | Missing taxon?: N | % Missing data: 99.6102136529442
Taxon: akodon_aff_cursor | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_affinis | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_albiventer | Num gaps: 95580 | Missing taxon?: N | % Missing data: 99.6143824908807
Taxon: akodon_azarae | Num gaps: 95531 | Missing taxon?: N | % Missing data: 99.5633142261595
Taxon: akodon_baliolus | Num gaps: 94495 | Missing taxon?: N | % Missing data: 98.4835852006253
Taxon: akodon_boliviensis | Num gaps: 94436 | Missing taxon?: N | % Missing data: 98.4220948410631
Taxon: akodon_budini | Num gaps: 95950 | Missing taxon?: Y | % Missing data: 100
Taxon: akodon_caenosus | Num gaps: 95578 | Missing taxon?: N | % Missing data: 99.6122980719124
Taxon: akodon_cursor | Num gaps: 94770 | Missing taxon?: N | % Missing data: 98.7701928087546
Taxon: akodon_dayi | Num gaps: 95603 | Missing taxon?: N | % Missing data: 99.6383533090151
Taxon: akodon_dolores | Num gaps: 95579 | Missing taxon?: N | % Missing data: 99.6133402813966
Taxon: akodon_fumeus | Num gaps: 95578 | Missing taxon?: N | % Missing data: 99.6122980719124
Taxon: akodon_glaucinus | Num gaps: 95581 | Missing taxon?: N | % Missing data: 99.6154247003648
Taxon: akodon_iniscatus | Num gaps: 95581 | Missing taxon?: N | % Missing data: 99.6154247003648
