Parsing alignment lchiroptera_subt1_mt12cp ... ... 
Length alignment: 7202
Number of taxa: 256
Taxon: acerodon_celebensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: acerodon_jubatus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: aethalops_aequalis | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: aethalops_alecto | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: alionycteris_paucidentata | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: anthops_ornatus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: aproteles_bulmerae~ | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: asellia_tridens | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: aselliscus_stoliczkanus | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: aselliscus_tricuspidatus | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: balionycteris_maculata | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: boneia_bidens | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: cardioderma_cor | Num gaps: 6508 | Missing taxon?: N | % Missing data: 90.363787836712
Taxon: casinycteris_argynnis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: casinycteris_campomaanensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: chironax_melanocephalus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: cloeotis_percivali | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: coelops_frithii | Num gaps: 5808 | Missing taxon?: N | % Missing data: 80.6442654818106
Taxon: craseonycteris_thonglongyai | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: cynopterus_brachyotis | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0277700638711469
Taxon: cynopterus_horsfieldii | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: cynopterus_sphinx | Num gaps: 1606 | Missing taxon?: N | % Missing data: 22.299361288531
Taxon: desmalopex_leucopterus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: desmalopex_microleucopterus | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: dobsonia_inermis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: dobsonia_minor | Num gaps: 5760 | Missing taxon?: N | % Missing data: 79.9777839489031
Taxon: dobsonia_moluccensis | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: dobsonia_pannietensis | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: dobsonia_praedatrix | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: dobsonia_viridis | Num gaps: 7202 | Missing taxon?: Y | % Missing data: 100
Taxon: dyacopterus_spadiceus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: eidolon_dupreanum | Num gaps: 6460 | Missing taxon?: N | % Missing data: 89.6973063038045
Taxon: eidolon_helvum | Num gaps: 5750 | Missing taxon?: N | % Missing data: 79.8389336295473
Taxon: eonycteris_robusta | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: eonycteris_spelaea | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: epomophorus_gambianus | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
Taxon: epomophorus_wahlbergi | Num gaps: 6444 | Missing taxon?: N | % Missing data: 89.4751457928353
