Parsing alignment marsupialia_nt3cp ... ... 
Length alignment: 85949
Number of taxa: 307
Taxon: acrobates_pygmaeus | Num gaps: 80215 | Missing taxon?: N | % Missing data: 93.3286018452803
Taxon: aepyprymnus_rufescens | Num gaps: 80280 | Missing taxon?: N | % Missing data: 93.4042280887503
Taxon: ailurops_ursinus | Num gaps: 84017 | Missing taxon?: N | % Missing data: 97.7521553479389
Taxon: antechinomys_laniger | Num gaps: 85594 | Missing taxon?: N | % Missing data: 99.5869643625871
Taxon: antechinus_agilis | Num gaps: 85577 | Missing taxon?: N | % Missing data: 99.567185191218
Taxon: antechinus_bellus | Num gaps: 85577 | Missing taxon?: N | % Missing data: 99.567185191218
Taxon: antechinus_flavipes | Num gaps: 84488 | Missing taxon?: N | % Missing data: 98.300154742929
Taxon: antechinus_godmani | Num gaps: 85577 | Missing taxon?: N | % Missing data: 99.567185191218
Taxon: antechinus_leo | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: antechinus_minimus | Num gaps: 84803 | Missing taxon?: N | % Missing data: 98.6666511535911
Taxon: antechinus_stuartii | Num gaps: 85192 | Missing taxon?: N | % Missing data: 99.1192451337421
Taxon: antechinus_swainsonii | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: bettongia_gaimardi | Num gaps: 84373 | Missing taxon?: N | % Missing data: 98.1663544660206
Taxon: bettongia_lesueur | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: bettongia_penicillata | Num gaps: 84167 | Missing taxon?: N | % Missing data: 97.9266774482542
Taxon: bettongia_penicillata_ogilbyi | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: bettongia_tropica | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: burramys_parvus | Num gaps: 84411 | Missing taxon?: N | % Missing data: 98.2105667314338
Taxon: caenolestes_caniventer | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: caenolestes_fuliginosus | Num gaps: 80927 | Missing taxon?: N | % Missing data: 94.1570000814436
Taxon: caenolestes_sangay | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: caluromys_derbianus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: caluromys_lanatus | Num gaps: 83253 | Missing taxon?: N | % Missing data: 96.8632561169996
Taxon: caluromys_philander | Num gaps: 78973 | Missing taxon?: N | % Missing data: 91.8835588546696
Taxon: caluromysiops_irrupta | Num gaps: 85563 | Missing taxon?: N | % Missing data: 99.5508964618553
Taxon: cercartetus_caudatus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: cercartetus_caudatus_macrurus | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
Taxon: cercartetus_concinnus | Num gaps: 83587 | Missing taxon?: N | % Missing data: 97.2518586603684
Taxon: cercartetus_lepidus | Num gaps: 84400 | Missing taxon?: N | % Missing data: 98.1977684440773
Taxon: cercartetus_nanus | Num gaps: 79812 | Missing taxon?: N | % Missing data: 92.8597191357666
Taxon: chironectes_minimus | Num gaps: 83269 | Missing taxon?: N | % Missing data: 96.8818718076999
Taxon: cryptonanus_agricolai | Num gaps: 85661 | Missing taxon?: N | % Missing data: 99.6649175673946
Taxon: cryptonanus_chacoensis | Num gaps: 83364 | Missing taxon?: N | % Missing data: 96.9924024712329
Taxon: cryptonanus_unduaviensis | Num gaps: 83249 | Missing taxon?: N | % Missing data: 96.8586021943245
Taxon: dactylopsila_palpator | Num gaps: 84406 | Missing taxon?: N | % Missing data: 98.2047493280899
Taxon: dactylopsila_trivirgata | Num gaps: 84383 | Missing taxon?: N | % Missing data: 98.1779892727082
Taxon: dasycercus_cristicauda | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasykaluta_rosamondae | Num gaps: 85576 | Missing taxon?: N | % Missing data: 99.5660217105493
Taxon: dasyuridae_sp_jmz_2005 | Num gaps: 85949 | Missing taxon?: Y | % Missing data: 100
