Parsing alignment laurasiatheria_therest_mt3cp ... ... 
Length alignment: 3660
Number of taxa: 659
Taxon: acinonyx_jubatus | Num gaps: 59 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: ailuropoda_melanoleuca | Num gaps: 56 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: ailuropoda_melanoleuca_qinlingensis | Num gaps: 3660 | Missing taxon?: Y | % Missing data: 100
Taxon: ailurus_fulgens | Num gaps: 56 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: ailurus_fulgens_styani | Num gaps: 56 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: anourosorex_squamipes | Num gaps: 59 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: anourosorex_yamashinai | Num gaps: 2733 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: aonyx_capensis | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: aonyx_cinerea | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: arctictis_binturong | Num gaps: 2937 | Missing taxon?: N | % Missing data: 80.2459016393443
Taxon: arctocephalus_australis | Num gaps: 317 | Missing taxon?: N | % Missing data: 8.66120218579235
Taxon: arctocephalus_forsteri | Num gaps: 56 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: arctocephalus_gazella | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: arctocephalus_pusillus | Num gaps: 56 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: arctocephalus_townsendi | Num gaps: 56 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: arctocephalus_tropicalis~ | Num gaps: 3660 | Missing taxon?: Y | % Missing data: 100
Taxon: arctogalidia_trivirgata | Num gaps: 2936 | Missing taxon?: N | % Missing data: 80.2185792349727
Taxon: arctonyx_collaris | Num gaps: 56 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: atelerix_albiventris | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.672131147541
Taxon: atelerix_algirus | Num gaps: 3285 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: atelerix_frontalis | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: atelocynus_microtis | Num gaps: 3433 | Missing taxon?: N | % Missing data: 93.7978142076503
Taxon: atilax_paludinosus | Num gaps: 2935 | Missing taxon?: N | % Missing data: 80.1912568306011
Taxon: bassaricyon_alleni | Num gaps: 3280 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: bassaricyon_gabbii | Num gaps: 2419 | Missing taxon?: N | % Missing data: 66.0928961748634
Taxon: bassaricyon_medius_medius | Num gaps: 3280 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: bassaricyon_neblina_neblina | Num gaps: 3280 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: bassariscus_astutus | Num gaps: 2420 | Missing taxon?: N | % Missing data: 66.120218579235
Taxon: bassariscus_sumichrasti | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: bdeogale_crassicauda | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: bdeogale_nigripes | Num gaps: 2947 | Missing taxon?: N | % Missing data: 80.5191256830601
Taxon: blarina_brevicauda | Num gaps: 2708 | Missing taxon?: N | % Missing data: 73.9890710382514
Taxon: blarina_carolinensis | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: blarina_hylophaga | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: blarinella_griselda | Num gaps: 2733 | Missing taxon?: N | % Missing data: 74.672131147541
Taxon: blarinella_quadraticauda | Num gaps: 59 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: blarinella_wardi | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: callorhinus_ursinus | Num gaps: 56 | Missing taxon?: N | % Missing data: 1.53005464480874
Taxon: lupulella_adusta~ | Num gaps: 1923 | Missing taxon?: N | % Missing data: 52.5409836065574
Taxon: canis_anthus | Num gaps: 59 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: canis_aureus | Num gaps: 323 | Missing taxon?: N | % Missing data: 8.82513661202186
Taxon: canis_familiaris | Num gaps: 59 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: canis_himalayensis | Num gaps: 3285 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: canis_indica | Num gaps: 3285 | Missing taxon?: N | % Missing data: 89.7540983606557
Taxon: canis_latrans | Num gaps: 59 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: canis_lupus | Num gaps: 65 | Missing taxon?: N | % Missing data: 1.77595628415301
Taxon: canis_lupus_baileyi | Num gaps: 3281 | Missing taxon?: N | % Missing data: 89.6448087431694
Taxon: canis_lupus_campestris | Num gaps: 323 | Missing taxon?: N | % Missing data: 8.82513661202186
Taxon: canis_lupus_chanco | Num gaps: 65 | Missing taxon?: N | % Missing data: 1.77595628415301
Taxon: canis_lupus_desertorum | Num gaps: 324 | Missing taxon?: N | % Missing data: 8.85245901639344
Taxon: canis_lupus_dingo | Num gaps: 3347 | Missing taxon?: N | % Missing data: 91.448087431694
Taxon: canis_lupus_laniger | Num gaps: 59 | Missing taxon?: N | % Missing data: 1.6120218579235
Taxon: canis_lupaster~ | Num gaps: 3282 | Missing taxon?: N | % Missing data: 89.672131147541
