Parsing alignment rod_subt1_nt12cp ... ... 
Length alignment: 423700
Number of taxa: 630
Taxon: acomys_cahirinus | Num gaps: 420004 | Missing taxon?: N | % Missing data: 99.1276846825584
Taxon: acomys_chudeaui | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_cilicicus | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_dimidiatus | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_ignitus | Num gaps: 420278 | Missing taxon?: N | % Missing data: 99.1923530800094
Taxon: acomys_johannis | Num gaps: 423316 | Missing taxon?: N | % Missing data: 99.9093698371489
Taxon: acomys_minous | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_nesiotes | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_ngurui | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: acomys_percivali | Num gaps: 422856 | Missing taxon?: N | % Missing data: 99.8008024545669
Taxon: acomys_russatus | Num gaps: 420272 | Missing taxon?: N | % Missing data: 99.1909369837149
Taxon: acomys_spinosissimus | Num gaps: 422878 | Missing taxon?: N | % Missing data: 99.8059948076469
Taxon: acomys_wilsoni | Num gaps: 422854 | Missing taxon?: N | % Missing data: 99.8003304224687
Taxon: allactaga_balikunica | Num gaps: 421362 | Missing taxon?: N | % Missing data: 99.4481944772244
Taxon: allactaga_bullata | Num gaps: 420854 | Missing taxon?: N | % Missing data: 99.3282983242861
Taxon: allactaga_elater | Num gaps: 420016 | Missing taxon?: N | % Missing data: 99.1305168751475
Taxon: allactaga_euphratica | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: allactaga_firouzi | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: allactaga_hotsoni | Num gaps: 423052 | Missing taxon?: N | % Missing data: 99.8470616001888
Taxon: allactaga_major | Num gaps: 420902 | Missing taxon?: N | % Missing data: 99.3396270946424
Taxon: allactaga_sibirica | Num gaps: 420606 | Missing taxon?: N | % Missing data: 99.2697663441114
Taxon: allactaga_toussi | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: allactaga_williamsi | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: allactodipus_bobrinskii | Num gaps: 420924 | Missing taxon?: N | % Missing data: 99.3448194477224
Taxon: allocricetulus_eversmanni | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: alticola_albicaudus | Num gaps: 422994 | Missing taxon?: N | % Missing data: 99.8333726693415
Taxon: alticola_argentatus | Num gaps: 422884 | Missing taxon?: N | % Missing data: 99.8074109039415
Taxon: alticola_barakshin | Num gaps: 422994 | Missing taxon?: N | % Missing data: 99.8333726693415
Taxon: alticola_lemminus | Num gaps: 422880 | Missing taxon?: N | % Missing data: 99.8064668397451
Taxon: alticola_macrotis | Num gaps: 422876 | Missing taxon?: N | % Missing data: 99.8055227755487
Taxon: alticola_macrotis_vinogradovi~ | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: alticola_montosa | Num gaps: 423700 | Missing taxon?: Y | % Missing data: 100
Taxon: alticola_olchonensis | Num gaps: 422874 | Missing taxon?: N | % Missing data: 99.8050507434506
Taxon: alticola_semicanus | Num gaps: 421706 | Missing taxon?: N | % Missing data: 99.5293839981119
Taxon: alticola_strelzowi | Num gaps: 422884 | Missing taxon?: N | % Missing data: 99.8074109039415
