Parsing alignment rod_subt2_mt12cp ... ... 
Length alignment: 7320
Number of taxa: 691
Taxon: abeomelomys_sevia | Num gaps: 6106 | Missing taxon?: N | % Missing data: 83.4153005464481
Taxon: abrawayaomys_ruschii | Num gaps: 6572 | Missing taxon?: N | % Missing data: 89.7814207650273
Taxon: abrothrix_andinus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: abrothrix_hershkovitzi | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: abrothrix_illuteus | Num gaps: 6568 | Missing taxon?: N | % Missing data: 89.7267759562842
Taxon: abrothrix_jelskii | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: abrothrix_lanosus | Num gaps: 6536 | Missing taxon?: N | % Missing data: 89.2896174863388
Taxon: abrothrix_longipilis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: abrothrix_longipilis_moerens | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: abrothrix_markhami | Num gaps: 6676 | Missing taxon?: N | % Missing data: 91.2021857923497
Taxon: abrothrix_olivaceus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: abrothrix_olivaceus_beatus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: abrothrix_olivaceus_brachiotis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: abrothrix_olivaceus_canescens | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: abrothrix_olivaceus_pencanus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: abrothrix_xanthorhinus | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: aegialomys_galapagoensis | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: aegialomys_xanthaeolus | Num gaps: 6558 | Missing taxon?: N | % Missing data: 89.5901639344262
Taxon: aepeomys_lugens | Num gaps: 7320 | Missing taxon?: Y | % Missing data: 100
Taxon: aethomys_chrysophilus | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
Taxon: aethomys_kaiseri | Num gaps: 6560 | Missing taxon?: N | % Missing data: 89.6174863387978
