Parsing alignment laurasiatheria_cetartiodactyla_nt12cp ... ... 
Length alignment: 191394
Number of taxa: 431
Taxon: addax_nasomaculatus | Num gaps: 191004 | Missing taxon?: N | % Missing data: 99.796231856798
Taxon: aepyceros_melampus | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: alcelaphus_buselaphus | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: alcelaphus_lichtensteini | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: alces_alces | Num gaps: 191056 | Missing taxon?: N | % Missing data: 99.8234009425583
Taxon: alces_alces_cameloides | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: alces_alces_pfitzmayeri | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: ammotragus_lervia | Num gaps: 190884 | Missing taxon?: N | % Missing data: 99.733533966582
Taxon: antidorcas_marsupialis | Num gaps: 189204 | Missing taxon?: N | % Missing data: 98.8557635035581
Taxon: antilocapra_americana | Num gaps: 178068 | Missing taxon?: N | % Missing data: 93.0373992915138
Taxon: antilocapra_americana_sonoriensis | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: antilope_cervicapra | Num gaps: 190574 | Missing taxon?: N | % Missing data: 99.5715644168574
Taxon: axis_axis | Num gaps: 191100 | Missing taxon?: N | % Missing data: 99.8463901689708
Taxon: axis_porcinus | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: babyrousa_babyrussa | Num gaps: 189890 | Missing taxon?: N | % Missing data: 99.2141864426262
Taxon: babyrousa_celebensis | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: balaena_mysticetus | Num gaps: 188372 | Missing taxon?: N | % Missing data: 98.4210581313939
Taxon: balaenoptera_acutorostrata | Num gaps: 175424 | Missing taxon?: N | % Missing data: 91.6559557770881
Taxon: balaenoptera_bonaerensis | Num gaps: 190036 | Missing taxon?: N | % Missing data: 99.2904688757223
Taxon: balaenoptera_borealis | Num gaps: 189718 | Missing taxon?: N | % Missing data: 99.12431946665
Taxon: balaenoptera_brydei | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: balaenoptera_edeni | Num gaps: 189354 | Missing taxon?: N | % Missing data: 98.9341358663281
Taxon: balaenoptera_musculus | Num gaps: 189722 | Missing taxon?: N | % Missing data: 99.1264093963238
Taxon: balaenoptera_omurai | Num gaps: 181826 | Missing taxon?: N | % Missing data: 95.0008882201114
Taxon: balaenoptera_physalus | Num gaps: 184148 | Missing taxon?: N | % Missing data: 96.2140923957909
Taxon: beatragus_hunteri | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: berardius_bairdii | Num gaps: 190624 | Missing taxon?: N | % Missing data: 99.5976885377807
Taxon: bos_bison | Num gaps: 184266 | Missing taxon?: N | % Missing data: 96.2757453211699
Taxon: bos_bonasus | Num gaps: 188928 | Missing taxon?: N | % Missing data: 98.7115583560613
Taxon: blastocerus_dichotomus | Num gaps: 191394 | Missing taxon?: Y | % Missing data: 100
Taxon: bos_frontalis | Num gaps: 179840 | Missing taxon?: N | % Missing data: 93.9632381370367
Taxon: bos_gaurus | Num gaps: 190416 | Missing taxon?: N | % Missing data: 99.4890121947396
Taxon: bos_grunniens | Num gaps: 168438 | Missing taxon?: N | % Missing data: 88.0058936016803
