Parsing alignment ctenohystrica_nt12cp ... ... 
Length alignment: 33287
Number of taxa: 210
Taxon: abrocoma_bennettii | Num gaps: 21739 | Missing taxon?: N | % Missing data: 65.3077778111575
Taxon: abrocoma_cinerea | Num gaps: 31317 | Missing taxon?: N | % Missing data: 94.0817736653949
Taxon: aconaemys_fuscus | Num gaps: 32695 | Missing taxon?: N | % Missing data: 98.2215279238141
Taxon: aconaemys_porteri | Num gaps: 32697 | Missing taxon?: N | % Missing data: 98.2275362754228
Taxon: aconaemys_sagei | Num gaps: 32021 | Missing taxon?: N | % Missing data: 96.19671343167
Taxon: atherurus_africanus~ | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: atherurus_macrourus~ | Num gaps: 31821 | Missing taxon?: N | % Missing data: 95.5958782707964
Taxon: bathyergus_janetta | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: bathyergus_suillus | Num gaps: 29189 | Missing taxon?: N | % Missing data: 87.6888875536996
Taxon: callistomys_pictus | Num gaps: 32023 | Missing taxon?: N | % Missing data: 96.2027217832788
Taxon: capromys_pilorides | Num gaps: 24923 | Missing taxon?: N | % Missing data: 74.8730735722655
Taxon: carterodon_sulcidens~ | Num gaps: 32053 | Missing taxon?: N | % Missing data: 96.2928470574098
Taxon: cavia_aperea~ | Num gaps: 32317 | Missing taxon?: N | % Missing data: 97.085949469763
Taxon: cavia_aperea_anolaimae | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_aperea_guianae | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_aperea_hypoleuca | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_aperea_pamparum | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_cutleri | Num gaps: 33003 | Missing taxon?: N | % Missing data: 99.1468140715595
Taxon: cavia_fulgida | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_magna | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_porcellus | Num gaps: 5611 | Missing taxon?: N | % Missing data: 16.8564304383092
Taxon: cavia_tschudii~ | Num gaps: 30377 | Missing taxon?: N | % Missing data: 91.2578484092889
Taxon: cavia_tschudii_osgoodi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: chaetomys_subspinosus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: chinchilla_lanigera | Num gaps: 21091 | Missing taxon?: N | % Missing data: 63.361071889927
Taxon: clyomys_laticeps | Num gaps: 31321 | Missing taxon?: N | % Missing data: 94.0937903686124
Taxon: coendou_bicolor | Num gaps: 32719 | Missing taxon?: N | % Missing data: 98.2936281431189
Taxon: coendou_ichillus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_insidiosus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_melanurus | Num gaps: 32469 | Missing taxon?: N | % Missing data: 97.5425841920269
Taxon: coendou_mexicanus | Num gaps: 32745 | Missing taxon?: N | % Missing data: 98.3717367140325
Taxon: coendou_prehensilis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_quichua | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_rufescens | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_spinosus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: coendou_villosus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_anomalus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_holosericeus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_hottentotus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_mahali | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_natalensis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_nimrodi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_pretoriae | Num gaps: 32059 | Missing taxon?: N | % Missing data: 96.310872112236
Taxon: ctenodactylus_gundi | Num gaps: 21091 | Missing taxon?: N | % Missing data: 63.361071889927
Taxon: ctenodactylus_vali | Num gaps: 31597 | Missing taxon?: N | % Missing data: 94.922942890618
Taxon: ctenomys_argentinus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_australis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_boliviensis | Num gaps: 22145 | Missing taxon?: N | % Missing data: 66.5274731877309
Taxon: ctenomys_colburni | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_conoveri | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_coyhaiquensis | Num gaps: 31189 | Missing taxon?: N | % Missing data: 93.6972391624358
Taxon: ctenomys_dorbignyi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_erikacuellarae | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_flamarioni | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_fodax | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_frater | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_fulvus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_goodfellowi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_haigi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_lami | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_latro | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_leucodon | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_lewisi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_magellanicus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_maulinus | Num gaps: 32445 | Missing taxon?: N | % Missing data: 97.4704839727221
Taxon: ctenomys_mendocinus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_minutus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_nattereri | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_occultus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_opimus | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_pearsoni | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_perrensi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_porteousi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_pundti | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_rionegrensis | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_roigi | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenomys_saltarius | Num gaps: 33287 | Missing taxon?: Y | % Missing data: 100
