Parsing alignment lchiroptera_subt2_nt3cp ... ... 
Length alignment: 117248
Number of taxa: 634
Taxon: ametrida_centurio | Num gaps: 116570 | Missing taxon?: N | % Missing data: 99.4217385371179
Taxon: anoura_caudifer | Num gaps: 115892 | Missing taxon?: N | % Missing data: 98.8434770742358
Taxon: anoura_cultrata | Num gaps: 116863 | Missing taxon?: N | % Missing data: 99.6716361899563
Taxon: anoura_geoffroyi | Num gaps: 114401 | Missing taxon?: N | % Missing data: 97.5718135917031
Taxon: anoura_latidens | Num gaps: 116684 | Missing taxon?: N | % Missing data: 99.5189683406114
Taxon: antrozous_dubiaquercus | Num gaps: 116564 | Missing taxon?: N | % Missing data: 99.4166211790393
Taxon: antrozous_pallidus | Num gaps: 114290 | Missing taxon?: N | % Missing data: 97.4771424672489
Taxon: ardops_nichollsi | Num gaps: 116796 | Missing taxon?: N | % Missing data: 99.6144923580786
Taxon: arielulus_aureocollaris | Num gaps: 116509 | Missing taxon?: N | % Missing data: 99.3697120633188
Taxon: arielulus_cuprosus | Num gaps: 117041 | Missing taxon?: N | % Missing data: 99.8234511462882
Taxon: ariteus_flavescens | Num gaps: 116571 | Missing taxon?: N | % Missing data: 99.422591430131
Taxon: artibeus_amplus | Num gaps: 117248 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_anderseni | Num gaps: 117071 | Missing taxon?: N | % Missing data: 99.8490379366812
Taxon: artibeus_aztecus | Num gaps: 117248 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_bogotensis | Num gaps: 117248 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_cinereus | Num gaps: 116392 | Missing taxon?: N | % Missing data: 99.269923580786
Taxon: artibeus_concolor | Num gaps: 116393 | Missing taxon?: N | % Missing data: 99.2707764737991
Taxon: artibeus_fimbriatus | Num gaps: 116590 | Missing taxon?: N | % Missing data: 99.4387963973799
Taxon: artibeus_fraterculus | Num gaps: 116685 | Missing taxon?: N | % Missing data: 99.5198212336245
Taxon: artibeus_glaucus | Num gaps: 116688 | Missing taxon?: N | % Missing data: 99.5223799126638
Taxon: artibeus_gnomus | Num gaps: 116690 | Missing taxon?: N | % Missing data: 99.52408569869
Taxon: artibeus_watsoni | Num gaps: 116686 | Missing taxon?: N | % Missing data: 99.5206741266376
Taxon: enchisthenes_hartii | Num gaps: 116392 | Missing taxon?: N | % Missing data: 99.269923580786
Taxon: artibeus_hirsutus | Num gaps: 116795 | Missing taxon?: N | % Missing data: 99.6136394650655
Taxon: artibeus_inopinatus | Num gaps: 117248 | Missing taxon?: Y | % Missing data: 100
Taxon: artibeus_intermedius | Num gaps: 116320 | Missing taxon?: N | % Missing data: 99.2085152838428
