Parsing alignment rod_subt1_mt12cp ... ... 
Length alignment: 7366
Number of taxa: 630
Taxon: acomys_cahirinus | Num gaps: 168 | Missing taxon?: N | % Missing data: 2.28074938908499
Taxon: acomys_chudeaui | Num gaps: 6638 | Missing taxon?: N | % Missing data: 90.1167526472984
Taxon: acomys_cilicicus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: acomys_dimidiatus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: acomys_ignitus | Num gaps: 6152 | Missing taxon?: N | % Missing data: 83.5188704860168
Taxon: acomys_johannis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: acomys_minous | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: acomys_nesiotes | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: acomys_ngurui | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: acomys_percivali | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: acomys_russatus | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: acomys_spinosissimus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: acomys_wilsoni | Num gaps: 6152 | Missing taxon?: N | % Missing data: 83.5188704860168
Taxon: allactaga_balikunica | Num gaps: 6622 | Missing taxon?: N | % Missing data: 89.8995384197665
Taxon: allactaga_bullata | Num gaps: 6622 | Missing taxon?: N | % Missing data: 89.8995384197665
Taxon: allactaga_elater | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: allactaga_euphratica | Num gaps: 6632 | Missing taxon?: N | % Missing data: 90.0352973119739
Taxon: allactaga_firouzi | Num gaps: 6770 | Missing taxon?: N | % Missing data: 91.9087700244366
Taxon: allactaga_hotsoni | Num gaps: 6768 | Missing taxon?: N | % Missing data: 91.8816182459951
Taxon: allactaga_major | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: allactaga_sibirica | Num gaps: 6616 | Missing taxon?: N | % Missing data: 89.818083084442
Taxon: allactaga_toussi | Num gaps: 6766 | Missing taxon?: N | % Missing data: 91.8544664675536
Taxon: allactaga_williamsi | Num gaps: 6632 | Missing taxon?: N | % Missing data: 90.0352973119739
Taxon: allactodipus_bobrinskii | Num gaps: 6622 | Missing taxon?: N | % Missing data: 89.8995384197665
Taxon: allocricetulus_eversmanni | Num gaps: 858 | Missing taxon?: N | % Missing data: 11.6481129513983
Taxon: alticola_albicaudus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: alticola_argentatus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: alticola_barakshin | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: alticola_lemminus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: alticola_macrotis | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: alticola_macrotis_vinogradovi~ | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: alticola_montosa | Num gaps: 6632 | Missing taxon?: N | % Missing data: 90.0352973119739
Taxon: alticola_olchonensis | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: alticola_semicanus | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: alticola_strelzowi | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: alticola_strelzowi_desertorum | Num gaps: 6792 | Missing taxon?: N | % Missing data: 92.207439587293
Taxon: alticola_tuvinicus | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: anomalurus | Num gaps: 170 | Missing taxon?: N | % Missing data: 2.30790116752647
Taxon: arvicola_amphibius | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: arvicola_sapidus | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: arvicola_scherman | Num gaps: 6614 | Missing taxon?: N | % Missing data: 89.7909313060005
Taxon: baiomys_musculus | Num gaps: 6604 | Missing taxon?: N | % Missing data: 89.6551724137931
Taxon: baiomys_taylori | Num gaps: 6610 | Missing taxon?: N | % Missing data: 89.7366277491176
Taxon: beamys_hindei | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: blanfordimys_afghanus | Num gaps: 6610 | Missing taxon?: N | % Missing data: 89.7366277491176
Taxon: blanfordimys_bucharensis | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: brachytarsomys_albicauda | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: brachyuromys_betsileoensis | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: brachyuromys_ramirohitra | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: calomyscus_bailwardi | Num gaps: 6604 | Missing taxon?: N | % Missing data: 89.6551724137931
Taxon: calomyscus_baluchi | Num gaps: 6604 | Missing taxon?: N | % Missing data: 89.6551724137931
Taxon: calomyscus_hotsoni | Num gaps: 6604 | Missing taxon?: N | % Missing data: 89.6551724137931
Taxon: cannomys_badius | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: cardiocranius_paradoxus | Num gaps: 6622 | Missing taxon?: N | % Missing data: 89.8995384197665
Taxon: castor_canadensis | Num gaps: 700 | Missing taxon?: N | % Missing data: 9.50312245452077
Taxon: castor_fiber | Num gaps: 190 | Missing taxon?: N | % Missing data: 2.57941895194135
Taxon: castor_fiber_albicus | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: castor_fiber_birulai | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: castor_fiber_pohlei | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: chaetodipus_arenarius | Num gaps: 6142 | Missing taxon?: N | % Missing data: 83.3831115938094
Taxon: chaetodipus_siccus | Num gaps: 6156 | Missing taxon?: N | % Missing data: 83.5731740428998
Taxon: chaetodipus_artus | Num gaps: 6146 | Missing taxon?: N | % Missing data: 83.4374151506924
Taxon: chaetodipus_baileyi | Num gaps: 4412 | Missing taxon?: N | % Missing data: 59.8968232419223
Taxon: chaetodipus_californicus | Num gaps: 5120 | Missing taxon?: N | % Missing data: 69.5085528102091
Taxon: chaetodipus_dalquesti | Num gaps: 6158 | Missing taxon?: N | % Missing data: 83.6003258213413
Taxon: chaetodipus_eremicus | Num gaps: 5114 | Missing taxon?: N | % Missing data: 69.4270974748846
Taxon: chaetodipus_fallax | Num gaps: 6142 | Missing taxon?: N | % Missing data: 83.3831115938094
Taxon: chaetodipus_formosus | Num gaps: 4470 | Missing taxon?: N | % Missing data: 60.6842248167255
Taxon: chaetodipus_goldmani | Num gaps: 6142 | Missing taxon?: N | % Missing data: 83.3831115938094
Taxon: chaetodipus_hispidus | Num gaps: 4468 | Missing taxon?: N | % Missing data: 60.657073038284
Taxon: chaetodipus_intermedius | Num gaps: 5058 | Missing taxon?: N | % Missing data: 68.6668476785229
Taxon: chaetodipus_nelsoni | Num gaps: 6146 | Missing taxon?: N | % Missing data: 83.4374151506924
Taxon: chaetodipus_penicillatus | Num gaps: 5056 | Missing taxon?: N | % Missing data: 68.6396959000814
Taxon: chaetodipus_pernix | Num gaps: 6146 | Missing taxon?: N | % Missing data: 83.4374151506924
Taxon: chaetodipus_rudinoris | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: chaetodipus_spinatus | Num gaps: 5110 | Missing taxon?: N | % Missing data: 69.3727939180016
Taxon: chionomys_gud | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: chionomys_nivalis | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: chionomys_roberti | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: cratogeomys_castanops | Num gaps: 5122 | Missing taxon?: N | % Missing data: 69.5357045886506
Taxon: cratogeomys_fulvescens | Num gaps: 5576 | Missing taxon?: N | % Missing data: 75.6991582948683
Taxon: cratogeomys_fumosus | Num gaps: 5576 | Missing taxon?: N | % Missing data: 75.6991582948683
Taxon: cratogeomys_fumosus_angustirostris~ | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: cratogeomys_fumosus_imparilis~ | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: cratogeomys_goldmani | Num gaps: 5576 | Missing taxon?: N | % Missing data: 75.6991582948683
Taxon: cratogeomys_goldmani_rubellus | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: cratogeomys_gymnurus | Num gaps: 5584 | Missing taxon?: N | % Missing data: 75.8077654086343
Taxon: cratogeomys_merriami | Num gaps: 5578 | Missing taxon?: N | % Missing data: 75.7263100733098
Taxon: cratogeomys_neglectus | Num gaps: 5576 | Missing taxon?: N | % Missing data: 75.6991582948683
Taxon: cratogeomys_perotensis | Num gaps: 5576 | Missing taxon?: N | % Missing data: 75.6991582948683
Taxon: cratogeomys_planiceps | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: cratogeomys_tylorhinus | Num gaps: 5584 | Missing taxon?: N | % Missing data: 75.8077654086343
Taxon: cratogeomys_zinseri | Num gaps: 5576 | Missing taxon?: N | % Missing data: 75.6991582948683
Taxon: cricetomys_ansorgei | Num gaps: 6680 | Missing taxon?: N | % Missing data: 90.6869399945696
Taxon: cricetomys_emini | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: cricetomys_gambianus | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: cricetulus_barabensis | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: cricetulus_griseus | Num gaps: 168 | Missing taxon?: N | % Missing data: 2.28074938908499
Taxon: urocricetus_kamensis | Num gaps: 168 | Missing taxon?: N | % Missing data: 2.28074938908499
Taxon: urocricetus_lama | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: cricetulus_longicaudatus | Num gaps: 168 | Missing taxon?: N | % Missing data: 2.28074938908499
Taxon: cricetulus_migratorius~ | Num gaps: 6624 | Missing taxon?: N | % Missing data: 89.926690198208
Taxon: cricetulus_migratorius_phaeus~ | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: cricetulus_sokolovi | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: cricetus_cricetus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: delanymys_brooksi | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: dendromus_insignis | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: dendromus_melanotis | Num gaps: 6656 | Missing taxon?: N | % Missing data: 90.3611186532718
Taxon: dendromus_mesomelas | Num gaps: 6656 | Missing taxon?: N | % Missing data: 90.3611186532718
Taxon: dendromus_mystacalis | Num gaps: 6656 | Missing taxon?: N | % Missing data: 90.3611186532718
Taxon: dendromus_nyasae_kivu | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: dendromus_nyikae | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: deomys_ferrugineus | Num gaps: 6638 | Missing taxon?: N | % Missing data: 90.1167526472984
Taxon: dicrostonyx_groenlandicus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: dicrostonyx_hudsonius | Num gaps: 6760 | Missing taxon?: N | % Missing data: 91.7730111322292
Taxon: dicrostonyx_richardsoni | Num gaps: 6770 | Missing taxon?: N | % Missing data: 91.9087700244366
Taxon: dicrostonyx_torquatus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: dinaromys_bogdanovi | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: dipodomys_agilis | Num gaps: 5116 | Missing taxon?: N | % Missing data: 69.4542492533261
Taxon: dipodomys_californicus | Num gaps: 5114 | Missing taxon?: N | % Missing data: 69.4270974748846
Taxon: dipodomys_compactus | Num gaps: 5116 | Missing taxon?: N | % Missing data: 69.4542492533261
Taxon: dipodomys_deserti | Num gaps: 5114 | Missing taxon?: N | % Missing data: 69.4270974748846
Taxon: dipodomys_elator | Num gaps: 6154 | Missing taxon?: N | % Missing data: 83.5460222644583
Taxon: dipodomys_elephantinus | Num gaps: 6142 | Missing taxon?: N | % Missing data: 83.3831115938094
Taxon: dipodomys_gravipes | Num gaps: 6158 | Missing taxon?: N | % Missing data: 83.6003258213413
Taxon: dipodomys_heermanni | Num gaps: 5132 | Missing taxon?: N | % Missing data: 69.671463480858
Taxon: dipodomys_ingens | Num gaps: 6158 | Missing taxon?: N | % Missing data: 83.6003258213413
Taxon: dipodomys_insularis~ | Num gaps: 6142 | Missing taxon?: N | % Missing data: 83.3831115938094
Taxon: dipodomys_merriami | Num gaps: 5120 | Missing taxon?: N | % Missing data: 69.5085528102091
Taxon: dipodomys_merriami_annulus | Num gaps: 6150 | Missing taxon?: N | % Missing data: 83.4917187075753
Taxon: dipodomys_merriami_arenivagus | Num gaps: 6150 | Missing taxon?: N | % Missing data: 83.4917187075753
Taxon: dipodomys_merriami_brunensis | Num gaps: 6150 | Missing taxon?: N | % Missing data: 83.4917187075753
Taxon: dipodomys_merriami_margaritae | Num gaps: 6156 | Missing taxon?: N | % Missing data: 83.5731740428998
Taxon: dipodomys_merriami_melanurus | Num gaps: 6150 | Missing taxon?: N | % Missing data: 83.4917187075753
Taxon: dipodomys_merriami_platycephalus | Num gaps: 6150 | Missing taxon?: N | % Missing data: 83.4917187075753
Taxon: dipodomys_microps | Num gaps: 5112 | Missing taxon?: N | % Missing data: 69.3999456964431
Taxon: dipodomys_nelsoni | Num gaps: 5112 | Missing taxon?: N | % Missing data: 69.3999456964431
Taxon: dipodomys_nitratoides | Num gaps: 6146 | Missing taxon?: N | % Missing data: 83.4374151506924
Taxon: dipodomys_ordii | Num gaps: 1342 | Missing taxon?: N | % Missing data: 18.2188433342384
Taxon: dipodomys_panamintinus | Num gaps: 5118 | Missing taxon?: N | % Missing data: 69.4814010317676
Taxon: dipodomys_phillipsii | Num gaps: 5116 | Missing taxon?: N | % Missing data: 69.4542492533261
Taxon: dipodomys_simulans | Num gaps: 6146 | Missing taxon?: N | % Missing data: 83.4374151506924
Taxon: dipodomys_simulans_peninsularis~ | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: dipodomys_spectabilis | Num gaps: 5116 | Missing taxon?: N | % Missing data: 69.4542492533261
Taxon: dipodomys_stephensi | Num gaps: 6172 | Missing taxon?: N | % Missing data: 83.7903882704317
Taxon: dipodomys_venustus | Num gaps: 6142 | Missing taxon?: N | % Missing data: 83.3831115938094
Taxon: dipus_sagitta | Num gaps: 172 | Missing taxon?: N | % Missing data: 2.33505294596796
Taxon: eliurus_antsingy | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eliurus_carletoni | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eliurus_ellermani | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: eliurus_grandidieri | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eliurus_majori | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eliurus_minor | Num gaps: 6610 | Missing taxon?: N | % Missing data: 89.7366277491176
Taxon: eliurus_myoxinus | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eliurus_tanala | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eliurus_webbi | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: ellobius_fuscocapillus | Num gaps: 6628 | Missing taxon?: N | % Missing data: 89.980993755091
Taxon: ellobius_talpinus | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: ellobius_tancrei | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eolagurus_luteus | Num gaps: 7366 | Missing taxon?: Y | % Missing data: 100
Taxon: eospalax_baileyi | Num gaps: 148 | Missing taxon?: N | % Missing data: 2.00923160467011
Taxon: eospalax_cansus | Num gaps: 154 | Missing taxon?: N | % Missing data: 2.09068693999457
Taxon: eospalax_fontanierii | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: eospalax_rothschildi | Num gaps: 148 | Missing taxon?: N | % Missing data: 2.00923160467011
Taxon: eospalax_rufescens | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: eospalax_smithii | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: eothenomys_cachinus | Num gaps: 5580 | Missing taxon?: N | % Missing data: 75.7534618517513
Taxon: eothenomys_chinensis | Num gaps: 172 | Missing taxon?: N | % Missing data: 2.33505294596796
Taxon: eothenomys_custos | Num gaps: 5580 | Missing taxon?: N | % Missing data: 75.7534618517513
Taxon: eothenomys_eleusis | Num gaps: 5580 | Missing taxon?: N | % Missing data: 75.7534618517513
Taxon: eothenomys_eva | Num gaps: 5580 | Missing taxon?: N | % Missing data: 75.7534618517513
Taxon: eothenomys_inez | Num gaps: 5580 | Missing taxon?: N | % Missing data: 75.7534618517513
Taxon: eothenomys_melanogaster | Num gaps: 174 | Missing taxon?: N | % Missing data: 2.36220472440945
Taxon: eothenomys_miletus | Num gaps: 5580 | Missing taxon?: N | % Missing data: 75.7534618517513
Taxon: eothenomys_olitor | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eothenomys_proditor | Num gaps: 5580 | Missing taxon?: N | % Missing data: 75.7534618517513
Taxon: myodes_smithii | Num gaps: 6606 | Missing taxon?: N | % Missing data: 89.6823241922346
Taxon: eothenomys_wardi | Num gaps: 5578 | Missing taxon?: N | % Missing data: 75.7263100733098
Taxon: eozapus_setchuanus | Num gaps: 172 | Missing taxon?: N | % Missing data: 2.33505294596796
Taxon: eremodipus_lichtensteini | Num gaps: 6622 | Missing taxon?: N | % Missing data: 89.8995384197665
Taxon: euchoreutes_naso | Num gaps: 172 | Missing taxon?: N | % Missing data: 2.33505294596796
Taxon: geomys_arenarius | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_attwateri | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_breviceps | Num gaps: 4566 | Missing taxon?: N | % Missing data: 61.9875101819169
Taxon: geomys_breviceps_sagittalis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_bursarius | Num gaps: 6912 | Missing taxon?: N | % Missing data: 93.8365462937822
Taxon: geomys_jugossicularis_halli | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_bursarius_illinoensis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_bursarius_industrius | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_lutescens | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_bursarius_major | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_bursarius_majusculus | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_bursarius_missouriensis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_bursarius_ozarkensis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
Taxon: geomys_jugossicularis_jugossicularis | Num gaps: 6608 | Missing taxon?: N | % Missing data: 89.7094759706761
