Parsing alignment euarchonta_nt3cp ... ... 
Length alignment: 96854
Number of taxa: 486
Taxon: allenopithecus_nigroviridis | Num gaps: 92636 | Missing taxon?: N | % Missing data: 95.6449914304004
Taxon: allocebus_trichotis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: alouatta_belzebul | Num gaps: 95292 | Missing taxon?: N | % Missing data: 98.387263303529
Taxon: alouatta_caraya | Num gaps: 92010 | Missing taxon?: N | % Missing data: 94.9986577735561
Taxon: alouatta_guariba | Num gaps: 96374 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: alouatta_palliata | Num gaps: 94553 | Missing taxon?: N | % Missing data: 97.6242591942511
Taxon: alouatta_palliata_aequatorialis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: alouatta_palliata_coibensis | Num gaps: 96374 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: alouatta_palliata_mexicana | Num gaps: 96374 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: alouatta_palliata_trabeata | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: alouatta_pigra | Num gaps: 96374 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: alouatta_sara | Num gaps: 84325 | Missing taxon?: N | % Missing data: 87.0640345261941
Taxon: alouatta_seniculus | Num gaps: 94611 | Missing taxon?: N | % Missing data: 97.6841431432878
Taxon: alouatta_macconnelli | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: alouatta_stramineus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: anathana_ellioti | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: aotus_azarai | Num gaps: 95201 | Missing taxon?: N | % Missing data: 98.2933074524542
Taxon: aotus_azarai_boliviensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: aotus_azarai_infulatus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: aotus_brumbacki | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: aotus_griseimembra | Num gaps: 96494 | Missing taxon?: N | % Missing data: 99.6283065232205
Taxon: aotus_lemurinus | Num gaps: 96001 | Missing taxon?: N | % Missing data: 99.1192929564086
Taxon: aotus_nancymaae | Num gaps: 94587 | Missing taxon?: N | % Missing data: 97.6593635781692
Taxon: aotus_nigriceps | Num gaps: 96239 | Missing taxon?: N | % Missing data: 99.365023643835
Taxon: aotus_trivirgatus | Num gaps: 92772 | Missing taxon?: N | % Missing data: 95.7854089660727
Taxon: aotus_vociferans | Num gaps: 94750 | Missing taxon?: N | % Missing data: 97.8276581245999
Taxon: arctocebus_aureus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: arctocebus_calabarensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_belzebuth | Num gaps: 93940 | Missing taxon?: N | % Missing data: 96.9913478018461
Taxon: ateles_belzebuth_chamek | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_belzebuth_marginatus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_fusciceps | Num gaps: 90309 | Missing taxon?: N | % Missing data: 93.242406095773
Taxon: ateles_fusciceps_robustus | Num gaps: 96374 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: ateles_fusciceps_rufiventris | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_geoffroyi | Num gaps: 87962 | Missing taxon?: N | % Missing data: 90.8191711235468
Taxon: ateles_geoffroyi_frontatus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_geoffroyi_panamensis | Num gaps: 96374 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: ateles_geoffroyi_vellerosus | Num gaps: 96374 | Missing taxon?: N | % Missing data: 99.5044086976274
Taxon: ateles_geoffroyi_yucatanensis | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_hybridus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: ateles_paniscus | Num gaps: 92322 | Missing taxon?: N | % Missing data: 95.3207921200983
Taxon: avahi_cleesei | Num gaps: 96508 | Missing taxon?: N | % Missing data: 99.6427612695397
Taxon: avahi_laniger | Num gaps: 96506 | Missing taxon?: N | % Missing data: 99.6406963057798
Taxon: avahi_occidentalis | Num gaps: 96505 | Missing taxon?: N | % Missing data: 99.6396638238999
Taxon: avahi_peyrierasi | Num gaps: 96505 | Missing taxon?: N | % Missing data: 99.6396638238999
Taxon: avahi_unicolor | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: brachyteles_arachnoides | Num gaps: 95667 | Missing taxon?: N | % Missing data: 98.7744440085077
Taxon: brachyteles_hypoxanthus | Num gaps: 96531 | Missing taxon?: N | % Missing data: 99.6665083527784
Taxon: cacajao_ayresi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_calvus | Num gaps: 95359 | Missing taxon?: N | % Missing data: 98.4564395894852
Taxon: cacajao_calvus_novaesi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_calvus_rubicundus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_calvus_ucayalli | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_hosomi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cacajao_melanocephalus | Num gaps: 96128 | Missing taxon?: N | % Missing data: 99.2504181551614
Taxon: cacajao_rubicundus | Num gaps: 95998 | Missing taxon?: N | % Missing data: 99.1161955107688
Taxon: plecturocebus_brunneus | Num gaps: 96488 | Missing taxon?: N | % Missing data: 99.6221116319409
Taxon: plecturocebus_cupreus | Num gaps: 86947 | Missing taxon?: N | % Missing data: 89.7712020154046
Taxon: plecturocebus_donacophilus | Num gaps: 96175 | Missing taxon?: N | % Missing data: 99.2989448035187
Taxon: plecturocebus_hoffmannsi | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cheracebus_lugens | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: plecturocebus_moloch | Num gaps: 88797 | Missing taxon?: N | % Missing data: 91.6812934932992
Taxon: callicebus_personatus | Num gaps: 96565 | Missing taxon?: N | % Missing data: 99.7016127366965
Taxon: callicebus_personatus_nigrifrons | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cheracebus_purinus | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cheracebus_torquatus | Num gaps: 96341 | Missing taxon?: N | % Missing data: 99.4703367955892
Taxon: callimico_goeldii | Num gaps: 90061 | Missing taxon?: N | % Missing data: 92.9863505895472
Taxon: callithrix_argentata | Num gaps: 95193 | Missing taxon?: N | % Missing data: 98.2850475974147
Taxon: callithrix_aurita | Num gaps: 96615 | Missing taxon?: N | % Missing data: 99.7532368306936
Taxon: callithrix_emiliae | Num gaps: 96572 | Missing taxon?: N | % Missing data: 99.7088401098561
Taxon: callithrix_geoffroyi | Num gaps: 94444 | Missing taxon?: N | % Missing data: 97.5117186693374
Taxon: callithrix_humeralifera | Num gaps: 96489 | Missing taxon?: N | % Missing data: 99.6231441138208
Taxon: callithrix_jacchus | Num gaps: 9274 | Missing taxon?: N | % Missing data: 9.57523695459145
Taxon: callithrix_kuhlii | Num gaps: 96171 | Missing taxon?: N | % Missing data: 99.2948148759989
Taxon: callithrix_mauesi | Num gaps: 96730 | Missing taxon?: N | % Missing data: 99.8719722468871
Taxon: callithrix_penicillata | Num gaps: 96531 | Missing taxon?: N | % Missing data: 99.6665083527784
Taxon: callithrix_pygmaea | Num gaps: 92937 | Missing taxon?: N | % Missing data: 95.9557684762632
Taxon: callithrix_saterei | Num gaps: 96854 | Missing taxon?: Y | % Missing data: 100
Taxon: cebus_albifrons | Num gaps: 88328 | Missing taxon?: N | % Missing data: 91.1970594916059
